gene_id	gene_symbol	source_index	hvg_score
ENSG00000224397	RP11-290F20.3	29177	20.7478332503196
ENSG00000204482	LST1	10609	20.731118873612
ENSG00000160307	S100B	32695	20.4521589993858
ENSG00000100079	LGALS2	31959	20.4007334148416
ENSG00000184709	LRRC26	16832	20.2101451719332
ENSG00000066336	SPI1	18773	20.0844623498036
ENSG00000170476	MZB1	9601	20.0825033341324
ENSG00000158869	FCER1G	2225	19.7419220300663
ENSG00000223855	AC147651.3	11811	19.1712943609289
ENSG00000088726	TMEM40	5519	19.1620771867621
ENSG00000010278	CD9	20143	19.061015962305
ENSG00000204472	AIF1	10611	18.8208416728511
ENSG00000137441	FGFBP2	7345	18.635366097338
ENSG00000187699	C2orf88	4846	18.5367871206526
ENSG00000070031	SCT	18172	18.1932389063316
ENSG00000156738	MS4A1	18945	17.9480166053487
ENSG00000166927	MS4A7	18942	17.8693385950836
ENSG00000162366	PDZK1IP1	963	17.2702632423111
ENSG00000113088	GZMK	8887	17.1927421547675
ENSG00000247982	LINC00926	23927	17.1168562164297
ENSG00000159674	SPON2	7170	16.9926800854478
ENSG00000129277	CCL4	26840	16.4570072143489
ENSG00000134545	KLRC1	20280	16.2970179993026
ENSG00000169583	CLIC3	16816	15.9534192970401
ENSG00000196735	HLA-DQA1	10681	15.9401348210345
ENSG00000129226	CD68	26287	15.733746475786
ENSG00000137198	GMPR	10335	15.3985250831307
ENSG00000110077	MS4A6A	18938	15.3845657795066
ENSG00000102804	TSC22D1	22002	15.2329941835508
ENSG00000138293	NCOA4	17327	14.8145893299138
ENSG00000163453	IGFBP7	7593	14.7492527348044
ENSG00000038427	VCAN	9156	14.7252212864915
ENSG00000162444	RBP7	232	14.3632895982752
ENSG00000203747	FCGR3A	2238	14.3372581181742
ENSG00000176783	RUFY1	10110	14.2924966598654
ENSG00000124491	F13A1	10241	14.203953539653
ENSG00000036448	MYOM2	14316	14.0928855972254
ENSG00000165682	CLEC1B	20260	14.0741304738373
ENSG00000007312	CD79B	27508	13.9252237632449
ENSG00000123689	G0S2	2758	13.7027760481298
ENSG00000128218	VPREB3	31699	13.6436153750706
ENSG00000149564	ESAM	19926	13.1141142954674
ENSG00000126759	CFP	13509	12.9124285240059
ENSG00000132514	CLEC10A	26243	12.8611057924364
ENSG00000025708	TYMP	32216	12.7860954093441
ENSG00000163221	S100A12	1957	12.7792542351808
ENSG00000173369	C1QB	472	12.685727396889
ENSG00000196139	AKR1C3	16916	12.6419902314663
ENSG00000221869	CEBPD	14769	12.4930668748665
ENSG00000237541	HLA-DQA2	10685	12.2683724616988
ENSG00000185215	TNFAIP2	23401	12.1348301967888
ENSG00000143184	XCL1	2318	12.073585965356
ENSG00000104921	FCER2	29707	12.0582188811555
ENSG00000150687	PRSS23	19528	12.0102573889554
ENSG00000143185	XCL2	2317	11.8346945505828
ENSG00000180739	S1PR5	29816	11.7924616726581
ENSG00000117281	CD160	1737	11.581048624448
ENSG00000124635	HIST1H2BJ	10456	11.4879829082175
ENSG00000269404	SPIB	31019	11.4203544167299
ENSG00000205336	GPR56	25500	11.3371762900853
ENSG00000010327	STAB1	5966	10.9428994441194
ENSG00000180644	PRF1	17450	10.9249594482904
ENSG00000267279	RP11-879F14.2	28409	10.8719801328294
ENSG00000116667	C1orf21	2493	10.7235579797791
ENSG00000104267	CA2	15067	10.7230478155237
ENSG00000183734	ASCL2	18237	10.7187388725133
ENSG00000140749	IGSF6	25037	10.6161283380064
ENSG00000197353	LYPD2	15507	10.5038986975827
ENSG00000267519	MIR24-2	29953	10.487960756919
ENSG00000005249	PRKAR2B	12733	10.362173819726
ENSG00000182853	VMO1	26175	10.3285361808246
ENSG00000151023	ENKUR	17099	10.3258076558517
ENSG00000239961	LILRA4	31198	10.1293017961615
ENSG00000134539	KLRD1	20270	10.0981805812597
ENSG00000170271	FAXDC2	9846	10.0884880976097
ENSG00000181036	FCRL6	2163	10.0153066309188
ENSG00000090013	BLVRB	30605	9.9555932577748
ENSG00000148180	GSN	16478	9.95505573400393
ENSG00000167618	LAIR2	31209	9.86175571052363
ENSG00000204257	HLA-DMA	10696	9.85964244258682
ENSG00000095303	PTGS1	16494	9.76782224272059
ENSG00000204420	C6orf25	10628	9.6478134316657
ENSG00000205809	KLRC2	20279	9.48752863186927
ENSG00000106066	CPVL	12091	9.39595571747664
ENSG00000168995	SIGLEC7	31063	9.32080526076322
ENSG00000085733	CTTN	19329	9.29610375092491
ENSG00000100385	IL2RB	31946	9.26322115673344
ENSG00000168229	PTGDR	22798	9.25074479563378
ENSG00000099958	DERL3	31705	9.10230298447991
ENSG00000130522	JUND	30121	8.99283956045612
ENSG00000111796	KLRB1	20246	8.98932465084028
ENSG00000104918	RETN	29703	8.94726176454755
ENSG00000122986	HVCN1	21419	8.94428987674916
ENSG00000140968	IRF8	25915	8.83727159336761
ENSG00000126883	NUP214	16684	8.82767134832218
ENSG00000185198	PRSS57	29418	8.77331742326569
ENSG00000084234	APLP2	20009	8.71987366771754
ENSG00000179344	HLA-DQB1	10682	8.61823414594381
ENSG00000181847	TIGIT	6307	8.60586443061301
ENSG00000123384	LRP1	20919	8.5897770343359
ENSG00000242574	HLA-DMB	10694	8.56620088989086
ENSG00000169403	PTAFR	607	8.55197149432835
ENSG00000185245	GP1BA	26183	8.51310617769073
ENSG00000259207	ITGB3	27213	8.50514867414055
ENSG00000204323	SMIM5	27675	8.48125737783453
ENSG00000184702	SEPT5	31597	8.31681710217882
ENSG00000123405	NFE2	20810	8.27048210545767
ENSG00000150681	RGS18	2538	8.25423666630834
ENSG00000141505	ASGR1	26245	8.24539814100415
ENSG00000030582	GRN	27141	8.21589508034834
ENSG00000198467	TPM2	15893	8.21122495815989
ENSG00000171604	CXXC5	9610	8.19326366974992
ENSG00000119535	CSF3R	765	8.18567758346038
ENSG00000075234	TTC38	32158	8.13524965949279
ENSG00000105048	TNNT1	31234	8.10041477647134
ENSG00000188076	SCGB1C1	18135	8.05843235569072
ENSG00000088826	SMOX	28651	8.05319983010417
ENSG00000185340	GAS2L1	31798	7.91884076674364
ENSG00000073861	TBX21	27223	7.78366568937079
ENSG00000206172	HBA1	24568	7.76700336804282
ENSG00000115956	PLEK	3874	7.74840956628376
ENSG00000108960	MMD	27373	7.74064853949517
ENSG00000188820	FAM26F	11347	7.72726425463819
ENSG00000163687	DNASE1L3	6028	7.6996701361295
ENSG00000130830	MPP1	14266	7.68694675135461
ENSG00000142089	IFITM3	18149	7.67939125475104
ENSG00000132386	SERPINF1	26086	7.61926202154968
ENSG00000142046	TMEM91	30633	7.61812688770818
ENSG00000176485	PLA2G16	19062	7.51958611971389
ENSG00000106537	TSPAN13	11974	7.51861768234313
ENSG00000135929	CYP27A1	5110	7.51843602788297
ENSG00000204475	NCR3	10610	7.46924588165808
ENSG00000229474	PATL2	23794	7.45794627611492
ENSG00000100027	YPEL1	31668	7.44949568328982
ENSG00000131981	LGALS3	22827	7.40476416285544
ENSG00000213231	TCL1B	23288	7.22184100434831
ENSG00000019169	MARCO	4354	7.18142350293802
ENSG00000184730	APOBR	25124	7.15187623510429
ENSG00000256039	RP11-291B21.2	20282	7.14836411935941
ENSG00000000938	FGR	593	7.14691708923547
ENSG00000103056	SMPD3	25655	7.12722538538801
ENSG00000125740	FOSB	30789	7.08807039342955
ENSG00000173442	EHBP1L1	19162	7.05474716743638
ENSG00000167470	MIDN	29451	7.03235999603364
ENSG00000272053	RP11-367G6.3	10390	6.91033227424858
ENSG00000077235	GTF3C1	25111	6.89764705998622
ENSG00000175294	CATSPER1	19190	6.87874742073261
ENSG00000113924	HGD	6355	6.83730803689774
ENSG00000181104	F2R	9091	6.82284165885538
ENSG00000146376	ARHGAP18	11415	6.82062556479063
ENSG00000166289	PLEKHF1	30282	6.79726160895486
ENSG00000262074	SNORD3B-2	26525	6.75185497319725
ENSG00000164292	RHOBTB3	9232	6.72958599850378
ENSG00000188677	PARVB	32121	6.72031612456086
ENSG00000184451	CCR10	27069	6.66846921384031
ENSG00000272282	RP11-222K16.2	5612	6.65750816768016
ENSG00000162614	NEXN	1259	6.62613477009655
ENSG00000226777	KIAA0125	23476	6.62561815577152
ENSG00000166523	CLEC4E	20226	6.61688815807401
ENSG00000007264	MATK	29563	6.56346216773684
ENSG00000107438	PDLIM1	17717	6.55703362088374
ENSG00000099785	MARCH2	29739	6.54984345859657
ENSG00000251131	CTD-2035E11.3	8828	6.5161209347067
ENSG00000145990	GFOD1	10310	6.49580618309196
ENSG00000115523	GNLY	4047	6.45752315307424
ENSG00000259001	RPPH1	22422	6.42459616897979
ENSG00000101336	HCK	28882	6.42092176469359
ENSG00000204287	HLA-DRA	10678	6.39047200461535
ENSG00000112799	LY86	10243	6.34065468538519
ENSG00000204424	LY6G6F	10624	6.3304663892117
ENSG00000132329	RAMP1	5317	6.32978653655718
ENSG00000254703	SENCR	19997	6.26688001940122
ENSG00000257275	RP11-164H13.1	23290	6.26354726048543
ENSG00000198478	SH3BGRL2	11114	6.26127806155374
ENSG00000168329	CX3CR1	5696	6.25661136411902
ENSG00000167460	TPM4	30027	6.19887593358454
ENSG00000198574	SH2D1B	2255	6.18196814996718
ENSG00000167851	CD300A	27628	6.1794632843006
ENSG00000142634	EFHD2	327	6.17595320213043
ENSG00000226091	LINC00937	20222	6.16632036061785
ENSG00000155366	RHOC	1581	6.12526004797199
ENSG00000140416	TPM1	23987	6.12172171114487
ENSG00000156475	PPP2R2B	9746	6.12049170742783
ENSG00000158825	CDA	440	6.1190507668265
ENSG00000047648	ARHGAP6	13294	6.07019182278443
ENSG00000085514	PILRA	12628	6.02542177938118
ENSG00000124731	TREM1	10832	5.98013964766514
ENSG00000101856	PGRMC1	13959	5.96520039602702
ENSG00000124762	CDKN1A	10781	5.92440446629596
ENSG00000166900	STX3	18927	5.91634748504199
ENSG00000133317	LGALS12	19059	5.89794495992616
ENSG00000189409	MMP23B	87	5.88040428627076
ENSG00000115607	IL18RAP	4188	5.87800604236494
ENSG00000176170	SPHK1	27709	5.87790314280092
ENSG00000171051	FPR1	31096	5.86103805207144
ENSG00000083454	P2RX5	26139	5.79270752093027
ENSG00000186810	CXCR3	13723	5.79171125527575
ENSG00000136250	AOAH	12160	5.76307468966577
ENSG00000101057	MYBL2	29046	5.76232512748938
ENSG00000105711	SCN1B	30371	5.70757353761837
ENSG00000158856	DMTN	14506	5.69702419797201
ENSG00000128311	TST	31941	5.67566063346608
ENSG00000142185	TRPM2	32617	5.66757433671426
ENSG00000148019	CEP78	16112	5.61941853749559
ENSG00000100321	SYNGR1	32024	5.5931100024052
ENSG00000169252	ADRB2	9769	5.53832683668396
ENSG00000150337	FCGR1A	1803	5.53457484867879
ENSG00000197903	HIST1H2BK	10458	5.51311162164732
ENSG00000160789	LMNA	2067	5.46566144689928
ENSG00000174600	CMKLR1	21373	5.44892888581803
ENSG00000156675	RAB11FIP1	14678	5.44433464688339
ENSG00000164674	SYTL3	11667	5.44353453766791
ENSG00000240403	KIR3DL2	31222	5.43029277611858
ENSG00000147535	PPAPDC1B	14689	5.42692125451525
ENSG00000142405	NLRP12	31166	5.41497244999988
ENSG00000099331	MYO9B	30061	5.39904146542365
ENSG00000153071	DAB2	8806	5.39523896543969
ENSG00000167604	NFKBID	30428	5.39333465085142
ENSG00000084731	KIF3C	3474	5.38375082969328
ENSG00000067840	PDZD4	14226	5.34843518661014
ENSG00000271614	LINC00936	21197	5.33691664185418
ENSG00000145088	EAF2	6366	5.32693340552681
ENSG00000108846	ABCC3	27339	5.32625406145178
ENSG00000185507	IRF7	18170	5.32047295564017
ENSG00000196576	PLXNB2	32204	5.29817519974987
ENSG00000177697	CD151	18190	5.27634165166366
ENSG00000104870	FCGRT	30974	5.24787582931609
ENSG00000234184	RP5-887A10.1	1272	5.24440918085775
ENSG00000163564	PYHIN1	2148	5.19872493950822
ENSG00000102445	KIAA0226L	22027	5.19694176509341
ENSG00000166428	PLD4	23451	5.15837548147351
ENSG00000166086	JAM3	20036	5.15537996601331
ENSG00000125538	IL1B	4308	5.13647934940337
ENSG00000100453	GZMB	22590	5.09979844574534
ENSG00000166501	PRKCB	25078	5.05668626724014
ENSG00000128383	APOBEC3A	32011	5.02101016911465
ENSG00000153563	CD8A	4065	5.0175054321294
ENSG00000018280	SLC11A1	5097	5.00574769507853
ENSG00000135916	ITM2C	5222	4.99638199880067
ENSG00000139187	KLRG1	20238	4.9945786909178
ENSG00000101470	TNNC2	29112	4.97123932487729
ENSG00000005238	FAM214B	15879	4.9686592522218
ENSG00000132185	FCRLA	2243	4.96778759861172
ENSG00000065243	PKN2	1324	4.96188369307309
ENSG00000150054	MPP7	17130	4.96137645407201
ENSG00000077157	PPP1R12B	2631	4.95957063842365
ENSG00000222041	LINC00152	4070	4.93599348569541
ENSG00000073350	LLGL2	27672	4.92604288242754
ENSG00000150045	KLRF1	20252	4.91021490878356
ENSG00000105374	NKG7	31076	4.89782685581272
ENSG00000164403	SHROOM1	9498	4.87247906777491
ENSG00000100473	COCH	22620	4.86288032764274
ENSG00000110651	CD81	18240	4.85666924163788
ENSG00000142173	COL6A2	32679	4.85416337629642
ENSG00000020633	RUNX3	520	4.85261197862523
ENSG00000134686	PHC2	717	4.84414776314391
ENSG00000128266	GNAZ	31685	4.83832219166579
ENSG00000182511	FES	24422	4.80797948714343
ENSG00000113070	HBEGF	9624	4.8070069713877
ENSG00000108798	ABI3	27281	4.79436649796745
ENSG00000169896	ITGAM	25273	4.79374648651726
ENSG00000089159	PXN	21539	4.78586422790683
ENSG00000064601	CTSA	29119	4.78491368014555
ENSG00000117586	TNFSF4	2372	4.78022663801547
ENSG00000251301	RP11-81H14.2	21041	4.7763715314212
ENSG00000167483	FAM129C	30095	4.74133341498771
ENSG00000167912	RP11-25K19.1	14859	4.71229691383247
ENSG00000117318	ID3	491	4.70027964528761
ENSG00000137101	CD72	15885	4.69459180829072
ENSG00000153064	BANK1	7899	4.68683402758731
ENSG00000128294	TPST2	31760	4.68658758586898
ENSG00000119714	GPR68	23220	4.66241102399483
ENSG00000162144	CYB561A3	18976	4.65942251936191
ENSG00000033627	ATP6V0A1	27058	4.65722576713851
ENSG00000185630	PBX1	2268	4.65102737236183
ENSG00000128309	MPST	31942	4.61747846248481
ENSG00000086730	LAT2	12405	4.6133723079565
ENSG00000204001	LCN8	16797	4.61083829271047
ENSG00000149557	FEZ1	19943	4.60803352280001
ENSG00000100450	GZMH	22589	4.60661709327131
ENSG00000155252	PI4K2A	17756	4.60407251833604
ENSG00000173930	SLCO4C1	9271	4.59809001163769
ENSG00000088053	GP6	31230	4.5959248543473
ENSG00000179094	PER1	26317	4.58012163236152
ENSG00000177575	CD163	20205	4.5493341625684
ENSG00000140859	KIFC3	25506	4.54110323839578
ENSG00000048462	TNFRSF17	24898	4.53823759251219
ENSG00000012124	CD22	30386	4.5083689061896
ENSG00000125968	ID1	28868	4.50692768444972
ENSG00000265206	MIR142	27414	4.50189299314052
ENSG00000149403	GRIK4	19871	4.49876648239961
ENSG00000162383	SLC1A7	1033	4.49644844836856
ENSG00000137801	THBS1	23659	4.48200125898749
ENSG00000122223	CD244	2201	4.47644247034405
ENSG00000125844	RRBP1	28742	4.47442202871777
ENSG00000173653	RCE1	19234	4.47249688053449
ENSG00000011600	TYROBP	30430	4.47034295248356
ENSG00000198815	FOXJ3	853	4.46879913799342
ENSG00000108405	P2RX1	26148	4.46755237935815
ENSG00000100351	GRAP2	32033	4.46415136446984
ENSG00000159335	PTMS	20173	4.45817588949888
ENSG00000167553	TUBA1C	20640	4.45694122781724
ENSG00000007350	TKTL1	14244	4.44607429572194
ENSG00000168071	CCDC88B	19101	4.42364583534993
ENSG00000134548	C12orf39	20396	4.40714732714841
ENSG00000189430	NCR1	31225	4.38693270028563
ENSG00000161570	CCL5	26825	4.38648964956617
ENSG00000135218	CD36	12456	4.37520244305616
ENSG00000140678	ITGAX	25274	4.37174091832555
ENSG00000167768	KRT1	20739	4.36335796770844
ENSG00000148175	STOM	16481	4.35783123355032
ENSG00000198053	SIRPA	28602	4.3557989813581
ENSG00000106948	AKNA	16433	4.33597857373717
ENSG00000196126	HLA-DRB1	10680	4.33446060222505
ENSG00000175029	CTBP2	18045	4.3319013717037
ENSG00000198585	NUDT16	6490	4.32714760689787
ENSG00000178789	CD300LB	27629	4.31112576893173
ENSG00000176845	METRNL	27910	4.29134697169308
ENSG00000175727	MLXIP	21591	4.28462829853877
ENSG00000119522	DENND1A	16522	4.28410983116429
ENSG00000108839	ALOX12	26234	4.27638360180878
ENSG00000167100	SAMD14	27311	4.25989839168778
ENSG00000138061	CYP1B1	3622	4.23432080591873
ENSG00000125817	CENPB	28643	4.21318103083694
ENSG00000106144	CASP2	13054	4.20149380513514
ENSG00000175489	LRRC25	30125	4.19685717760476
ENSG00000203780	FANK1	18056	4.19115939887427
ENSG00000168274	HIST1H2AE	10431	4.18833509064353
ENSG00000157168	NRG1	14641	4.1879765818353
ENSG00000242498	C15orf38	24400	4.18524220550631
ENSG00000124882	EREG	7704	4.16896807218221
ENSG00000205147	AC016586.1	29570	4.1682368514097
ENSG00000149294	NCAM1	19727	4.16318974304215
ENSG00000021762	OSBPL5	18256	4.16256146927784
ENSG00000141696	LEPREL4	27034	4.16046419773846
ENSG00000165861	ZFYVE1	23020	4.14217527942563
ENSG00000145703	IQGAP2	9087	4.13230035902068
ENSG00000125482	TTF1	16698	4.11267568896288
ENSG00000111912	NCOA7	11394	4.10852750588628
ENSG00000074964	ARHGEF10L	393	4.10604481958697
ENSG00000145220	LYAR	7224	4.10017968776274
ENSG00000100083	GGA1	31960	4.09604713518761
ENSG00000243772	KIR2DL3	31220	4.08977451859375
ENSG00000220201	ZGLP1	29806	4.08377391868129
ENSG00000142687	KIAA0319L	739	4.06460761703099
ENSG00000023445	BIRC3	19618	4.06427202240621
ENSG00000054654	SYNE2	22922	4.05738300768147
ENSG00000042493	CAPG	4036	4.04565991301884
ENSG00000105887	MTPN	12969	4.0372248357006
ENSG00000050393	MCUR1	10318	4.03569698135673
ENSG00000230537	RP11-305L7.1	16192	4.02940601832041
ENSG00000048028	USP28	19738	4.02386124568202
ENSG00000139722	VPS37B	21612	4.01842139126715
ENSG00000130589	HELZ2	29353	4.01714548692306
ENSG00000081377	CDC14B	16262	4.01109573267366
ENSG00000139112	GABARAPL1	20268	4.00590675807205
ENSG00000039523	FAM65A	25612	4.00134595013661
ENSG00000136770	DNAJC1	17075	3.99150834564155
ENSG00000150347	ARID5B	17385	3.98539610265049
ENSG00000261366	MANEA-AS1	11202	3.98460737026023
ENSG00000027869	SH2D2A	2105	3.98167156333161
ENSG00000180354	MTURN	12103	3.9589882028951
ENSG00000170442	KRT86	20716	3.95469175178609
ENSG00000177169	ULK1	21729	3.95170313207514
ENSG00000225791	TRAM2-AS1	10987	3.94846407868225
ENSG00000225783	MIAT	31763	3.93635245632578
ENSG00000142347	MYO1F	29744	3.93085415085055
ENSG00000129968	ABHD17A	29489	3.91592388103252
ENSG00000174175	SELP	2332	3.91365088592639
ENSG00000177674	AGTRAP	264	3.91046540432615
ENSG00000076944	STXBP2	29702	3.90215225642626
ENSG00000231389	HLA-DPA1	10700	3.90018755625869
ENSG00000171596	NMUR1	5235	3.8776846521696
ENSG00000145214	DGKQ	7162	3.8714230184882
ENSG00000109906	ZBTB16	19742	3.8604088878965
ENSG00000105327	BBC3	30855	3.85892226421994
ENSG00000135365	PHF21A	18743	3.84936052157582
ENSG00000101474	APMAP	28834	3.84347479490367
ENSG00000142733	MAP3K6	585	3.8285195113084
ENSG00000172794	RAB37	27635	3.81586026236024
ENSG00000116741	RGS2	2544	3.81284947625144
ENSG00000137076	TLN1	15894	3.80831487467146
ENSG00000237886	RP11-611D20.2	16788	3.80679287655416
ENSG00000089692	LAG3	20174	3.80526826221851
ENSG00000111670	GNPTAB	21303	3.80288911564393
ENSG00000116260	QSOX1	2440	3.80051858373331
ENSG00000135821	GLUL	2465	3.78789898655222
ENSG00000185291	IL3RA	13236	3.78471890059571
ENSG00000166435	XRRA1	19410	3.77828890509445
ENSG00000196843	ARID5A	4116	3.77032175294853
ENSG00000223865	HLA-DPB1	10701	3.76875165143464
ENSG00000239713	APOBEC3G	32017	3.7680575170548
ENSG00000198429	ZNF69	29867	3.7660672678679
ENSG00000136573	BLK	14412	3.76324084139393
ENSG00000108387	SEPT4	27420	3.75179545221161
ENSG00000167680	SEMA6B	29599	3.75095376448505
ENSG00000136213	CHST12	11854	3.74898179917643
ENSG00000111300	NAA25	21442	3.74093236599681
ENSG00000028137	TNFRSF1B	277	3.73630362751046
ENSG00000224137	AC079767.4	5003	3.73174008943806
ENSG00000198517	MAFK	11838	3.72421782368357
ENSG00000260916	CCPG1	23913	3.72212245314553
ENSG00000237683	AL627309.1	6	3.71703106602901
ENSG00000141682	PMAIP1	28401	3.70580090569782
ENSG00000245532	NEAT1	19153	3.69566479901777
ENSG00000173193	PARP14	6380	3.68798822281467
ENSG00000196542	SPTSSB	6769	3.68544536513269
ENSG00000075711	DLG1	7120	3.68433567819726
ENSG00000174255	ZNF80	6306	3.67901220071016
ENSG00000168081	PNOC	14598	3.66615751740304
ENSG00000165959	CLMN	23278	3.65930347224104
ENSG00000185697	MYBL1	14918	3.6493550064916
ENSG00000104129	DNAJC17	23698	3.64935479161095
ENSG00000001631	KRIT1	12517	3.64457335872368
ENSG00000225331	AP001055.6	32603	3.64289684885677
ENSG00000115457	IGFBP2	5072	3.64258873190831
ENSG00000130684	ZNF337	28846	3.63833119068294
ENSG00000132334	PTPRE	18068	3.63180338810243
ENSG00000205309	NT5M	26480	3.62153100803762
ENSG00000158517	NCF1	12411	3.61972390772066
ENSG00000175854	SWI5	16601	3.61657817882585
ENSG00000088992	TESC	21503	3.61126322511064
ENSG00000162066	AMDHD2	24719	3.59863472605223
ENSG00000010610	CD4	20175	3.59792871131614
ENSG00000273141	RP11-820I16.4	28053	3.59087832489335
ENSG00000187961	KLHL17	37	3.58032749379581
ENSG00000198952	SMG5	2074	3.57906476057494
ENSG00000112763	BTN2A1	10445	3.56469386347449
ENSG00000046653	GPM6B	13316	3.56374320467737
ENSG00000111642	CHD4	20161	3.56317455556908
ENSG00000132361	CLUH	26112	3.5623507376247
ENSG00000272763	RP11-357H14.17	27261	3.55233786564007
ENSG00000100504	PYGL	22776	3.55215774013333
ENSG00000145428	RNF175	8252	3.55108731028773
ENSG00000230454	U73166.2	5903	3.53804577741492
ENSG00000176049	JAKMIP2	9751	3.53629314115106
ENSG00000085365	SCAMP1	9106	3.53624141571635
ENSG00000237422	RP11-305L7.3	16194	3.53573609384304
ENSG00000182685	BRICD5	24697	3.53278683766374
ENSG00000214063	TSPAN4	18192	3.52885096783327
ENSG00000156381	ANKRD9	23391	3.52829939203992
ENSG00000166333	ILK	18368	3.52803528869778
ENSG00000066923	STAG3	12623	3.52662455275176
ENSG00000197566	ZNF624	26462	3.5253126522696
ENSG00000136161	RCBTB2	22045	3.51864397698424
ENSG00000219200	RNASEK	26235	3.5147409821094
ENSG00000185905	C16orf54	25164	3.5121450328594
ENSG00000152455	SUV39H2	17020	3.5101219291974
ENSG00000164483	SAMD3	11419	3.49940700013022
ENSG00000215041	NEURL4	26262	3.49755979486755
ENSG00000151651	ADAM8	18112	3.49458422670009
ENSG00000119943	PYROXD2	17771	3.49227335722544
ENSG00000122694	GLIPR2	15912	3.48765735238708
ENSG00000183386	FHL3	788	3.48511577755342
ENSG00000188389	PDCD1	5401	3.48308971250048
ENSG00000151849	CENPJ	21839	3.48090287542753
ENSG00000133818	RRAS2	18484	3.47480786459784
ENSG00000026751	SLAMF7	2199	3.47360475135149
ENSG00000158006	PAFAH2	546	3.47025597352618
ENSG00000171552	BCL2L1	28870	3.46910711767791
ENSG00000173542	MOB1B	7674	3.46728105984065
ENSG00000148400	NOTCH1	16786	3.46032058036897
ENSG00000238005	RP11-443B7.1	3037	3.45675536151329
ENSG00000235568	NFAM1	32091	3.45529953181071
ENSG00000250850	RP11-297B17.3	15920	3.45244844719911
ENSG00000125772	GPCPD1	28671	3.45053235667496
ENSG00000121848	RNF115	1736	3.44974658048676
ENSG00000109743	BST1	7342	3.44034808589963
ENSG00000116663	FBXO6	261	3.43884301410031
ENSG00000273445	RP11-1399P15.1	4071	3.4362033580093
ENSG00000187118	CMC1	5617	3.4354484591798
ENSG00000180900	SCRIB	15559	3.43264097178393
ENSG00000117560	FASLG	2367	3.42715396424586
ENSG00000139116	KIF21A	20525	3.42545618723228
ENSG00000058063	ATP11B	6913	3.42532773018039
ENSG00000107185	RGP1	15897	3.4247917804751
ENSG00000256087	ZNF432	31109	3.42474812716438
ENSG00000140939	NOL3	25593	3.4237997670513
ENSG00000130348	QRSL1	11253	3.42310806814932
ENSG00000140320	BAHD1	23687	3.42051551373414
ENSG00000181649	PHLDA2	18251	3.42015450870132
ENSG00000169180	XPO6	25115	3.41248912312866
ENSG00000139437	TCHP	21405	3.40839880705762
ENSG00000230606	AC159540.1	4129	3.40535689374393
ENSG00000112658	SRF	10882	3.40415589871779
ENSG00000102908	NFAT5	25680	3.40344243003269
ENSG00000142192	APP	32325	3.39633897279198
ENSG00000163785	RYK	6515	3.38963416643489
ENSG00000166478	ZNF143	18429	3.38675088691761
ENSG00000198502	HLA-DRB5	10679	3.38509196870548
ENSG00000253352	TUG1	31845	3.38076275666914
ENSG00000170891	CYTL1	7232	3.37995858548708
ENSG00000171310	CHST11	21337	3.37831487034135
ENSG00000186891	TNFRSF18	52	3.36904317378825
ENSG00000241106	HLA-DOB	10687	3.36072991414432
ENSG00000263934	SNORD3A	26536	3.36004041606135
ENSG00000057657	PRDM1	11248	3.35836209324035
