config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	post_gene_ref	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	bio_model	bio_model_mix	poisson_scale	post_bio_temp	post_bio_bias	calib_method	calib_blend	calib_platt_l2	calib_platt_max_iter	calib_platt_lr	calib_platt_use_logit	calib_platt_balance	calib_max_samples	sup_bio_weight	sup_bio_l2	sup_bio_lr	sup_bio_epochs	sup_bio_balance	sup_bio_max_samples	ae_bio_weight	ae_bio_cap_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	zero_shrink	zero_cap_quantile	zero_cap_scale	zero_cap_ref	expr_bio_weight	expr_bio_cap_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	expr_bio_expected	expr_bio_mix	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative	calibrate_p_bio	calibrate_p_bio_mode	calibrate_frac_scale_grid	calibrate_bin_count	calibrate_lambda_mse
11	0.863419758528471	0.18567467853426933	1.1295751333236694	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.5	0.5	1.0	0.0	platt	1.0	0.0	200	0.1	True	True	50000	1.0	0.01	0.1	200	True	50000	0.0	0.0	1.0	0.2	True	0.0	4.0	0.0	4.0	0.0	1.0	0.3	0.5	0.6	0.6	1.0	0.0	1.0	2	20	0.0	1.0	1.0	-1.0	1.5	obs	0.0	0.3	1.0	-0.5	0.4	1.5	False	log	0.3	0.0	0.8	0.4	5	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
12	0.9385013565421104	0.36656615883111954	0.9532253295183182	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.3	0.5	1.0	0.0	isotonic	1.0	0.01	200	0.1	True	True	50000	0.6	0.01	0.1	200	True	50000	0.0	0.0	0.3	0.6	True	0.0	4.0	0.0	1.0	0.0	1.0	0.05	0.7	0.6	0.9	2.0	0.0	1.0	4	10	0.0	2.0	1.0	-1.0	1.5	obs	0.0	0.6	0.3	-0.5	-1.0	0.5	False	log	0.7	0.0	0.8	-1.0	5	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
13	0.68609314635396	0.25657086446881294	0.7158704698085785	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.7	2.0	1.0	0.0	isotonic	1.0	0.01	200	0.1	True	True	50000	0.8	0.0	0.1	200	True	50000	0.0	0.9	1.0	0.2	True	0.0	1.0	0.0	4.0	0.0	4.0	-1.0	0.7	0.6	0.0	2.0	0.0	2.0	2	10	0.0	4.0	1.0	-1.0	1.0	obs	0.0	0.3	0.6	0.0	-1.0	1.5	True	log	0.7	0.0	0.8	0.2	5	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
14	0.8768097475171089	0.3367210701107979	0.9001477956771851	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.5	0.5	1.0	0.0	isotonic	1.0	0.01	200	0.1	True	True	50000	0.6	0.01	0.1	200	True	50000	0.0	0.0	0.6	0.4	False	0.0	4.0	0.0	1.0	0.0	2.0	-1.0	1.0	0.6	0.6	2.0	0.0	1.0	3	20	0.0	4.0	1.0	-1.0	2.0	obs	0.0	0.3	0.3	-0.5	0.4	0.5	True	counts	0.3	0.0	0.4	0.2	20	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
15	0.7587905455380678	0.1694961804896593	0.9821572750806808	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.7	4.0	1.0	0.0	isotonic	1.0	0.01	200	0.1	True	True	50000	0.6	0.0	0.1	200	True	50000	0.0	0.0	0.3	0.8	False	0.0	1.0	0.0	2.0	0.0	4.0	0.3	0.7	0.6	0.3	2.0	0.0	1.0	2	10	0.0	4.0	1.0	-1.0	2.0	recon	0.0	0.6	1.0	-0.5	0.4	0.5	False	counts	0.5	0.0	0.2	-1.0	20	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
16	0.866000659763813	0.19500365108251572	1.1183283478021622	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.3	4.0	1.0	0.0	platt	1.0	0.01	200	0.1	True	True	50000	1.0	0.01	0.1	200	True	50000	0.0	0.0	0.1	0.4	True	0.0	1.0	0.0	2.0	0.0	1.0	0.1	0.5	0.6	0.6	1.0	0.0	1.0	2	20	0.0	0.5	1.0	-1.0	1.5	recon	0.0	0.3	1.0	0.5	0.2	1.5	False	mix	0.5	0.0	0.8	0.4	20	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
17	0.7398649089038372	0.22804110869765282	0.8530396670103073	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.5	0.5	1.0	0.0	platt	1.0	0.0	200	0.1	True	True	50000	1.0	0.0	0.1	200	True	50000	0.0	0.0	0.1	0.6	True	0.0	4.0	0.0	2.0	0.0	1.0	-1.0	0.5	0.6	0.3	2.0	0.0	2.0	4	10	0.0	0.5	1.0	-1.0	2.0	obs	0.0	0.0	0.6	0.5	0.4	0.5	True	mix	0.7	0.0	0.8	-1.0	20	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
18	0.9138974122703075	0.21340398117899895	1.1674890518188477	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.7	2.0	1.0	0.0	isotonic	1.0	0.01	200	0.1	True	True	50000	0.8	0.01	0.1	200	True	50000	0.0	0.9	0.6	0.2	True	0.0	2.0	0.0	1.0	0.0	2.0	0.3	1.0	0.6	0.9	1.0	0.0	2.0	3	20	0.0	2.0	1.0	-1.0	1.0	obs	0.0	0.0	0.3	0.0	0.2	0.5	False	counts	0.3	0.0	0.4	0.2	10	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
19	0.7982070729136467	0.24693011492490768	0.9187949299812317	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.7	1.0	1.0	0.0	platt	1.0	0.0	200	0.1	True	True	50000	0.6	0.01	0.1	200	True	50000	0.0	0.0	0.3	0.8	True	0.0	4.0	0.0	4.0	0.0	4.0	0.1	1.0	0.6	0.3	1.0	0.0	2.0	4	20	0.0	1.0	1.0	-1.0	1.5	obs	0.0	0.6	0.6	0.0	0.4	1.0	False	log	0.3	0.0	0.8	-1.0	5	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
20	0.93288903683424	0.3191160634160042	1.0229549556970596	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.7	2.0	1.0	0.0	isotonic	1.0	0.01	200	0.1	True	True	50000	0.6	0.01	0.1	200	True	50000	0.0	0.6	0.6	0.2	True	0.0	4.0	0.0	2.0	0.0	1.0	0.1	1.0	0.6	0.6	1.0	0.0	2.0	4	10	0.0	4.0	1.0	-1.0	1.5	recon	0.0	0.3	1.0	0.5	0.4	1.5	True	log	0.3	0.0	0.8	0.2	5	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
21	0.8636877097189426	0.20893775299191475	1.0912499278783798	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.5	2.0	1.0	0.0	platt	1.0	0.0	200	0.1	True	True	50000	0.6	0.01	0.1	200	True	50000	0.0	0.0	0.6	0.4	False	0.0	4.0	0.0	2.0	0.0	4.0	0.2	1.0	0.6	0.9	2.0	0.0	1.0	2	20	0.0	0.5	1.0	-1.0	2.0	recon	0.0	0.0	1.0	-0.5	0.4	0.5	False	counts	0.7	0.0	0.4	0.4	20	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
22	0.9038593843579292	0.18377093225717545	1.200147420167923	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.7	2.0	1.0	0.0	platt	1.0	0.01	200	0.1	True	True	50000	1.0	0.01	0.1	200	True	50000	0.0	0.9	0.6	0.4	True	0.0	2.0	0.0	2.0	0.0	1.0	0.05	0.5	0.6	0.9	1.0	0.0	1.0	4	20	0.0	1.0	1.0	-1.0	2.0	obs	0.0	0.0	1.0	-0.5	0.2	1.5	True	counts	0.7	0.0	0.4	0.2	5	False	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
23	0.8659257240593433	0.19263378158211708	1.1221532374620438	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.5	4.0	1.0	0.0	platt	1.0	0.01	200	0.1	True	True	50000	1.0	0.01	0.1	200	True	50000	0.0	0.3	0.1	0.4	True	0.0	4.0	0.0	2.0	0.0	1.0	-1.0	0.7	0.6	0.6	1.0	0.0	2.0	3	10	0.0	0.5	1.0	-1.0	1.5	recon	0.0	0.6	0.6	-0.5	0.4	1.0	False	counts	0.3	0.0	0.2	0.2	20	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
24	0.6778637982904911	0.286598552018404	0.6521087437868118	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.1	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	splat	0.7	2.0	1.0	0.0	platt	1.0	0.0	200	0.1	True	True	50000	1.0	0.0	0.1	200	True	50000	0.0	0.9	0.6	0.4	True	0.0	4.0	0.0	1.0	0.0	1.0	0.2	1.0	0.6	0.0	2.0	0.0	1.0	3	20	0.0	0.5	1.0	-1.0	2.0	recon	0.0	0.6	0.3	-0.5	-1.0	1.0	False	mix	0.7	0.0	0.8	-1.0	5	True	False	True	global	0.5,0.75,1.0,1.25,1.5	5	0.6
